CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.type,workload.appname
21.09,0,9.79,0.56,0.86,0.89,0,0,32.63,36.5,0,29609.6,0,1754.95,0,0,0,60.69,0,0.04,78.48,0.01,5950.41,6330.08,54933.4,54932.2,0.52,0,0,14.08,0.60724162,2.928069973,6.951856038,0.184912321,0.874948592,1,0.60724162,0,12288,1797751,593598,933693,0,33,28,0.2,933334.2,30,1485,11.52,14.89,5.20E-14,default,mysql
21.85,0,10.19,0.64,0.88,0.91,0,0,33.83,38.06,0,31790.6,0,1904.03,0,0,0,61.33,0,0.05,80.96,0.01,6127.3,6517.89,56565.4,56562,0.53,0,0,14.59,0.601655343,2.957161689,7.021424721,0.186691298,0.887275966,1,0.601655343,1,12288,1948866,615267,970011,0,34,83,0,969948.2,8,1480,16.36,15.84,5.20E-14,default,mysql
21.27,0,10.31,0.64,0.86,0.91,0,0,33.35,37.48,0,32106.6,0,1923.01,0,0,0,61.33,0,0.05,81.2,0.01,5976.94,6357.99,55177.6,55174.4,0.52,0,0,14.74,0.602877008,2.935160832,6.98692792,0.18428151,0.87530835,1,0.602877008,1,12288,1969064,606001,955060,0,33,5,0,955106.6,45,1482,18.57,16.3,5.00E-14,default,mysql
22.02,0,10.63,0.64,0.9,0.91,0,0,34.46,38.65,0,31643,0,1901.87,0,0,0,61.55,0,0.05,79.52,0.01,6145.15,6537.12,56731.4,56729,0.54,0,0,14.73,0.602163767,2.965121796,6.950004063,0.184592592,0.88990267,1,0.602163767,0,12288,1947282,625155,987210,0,34,85,0.2,987212.2,19,1480,19.65,16.56,5.00E-14,default,mysql
21.51,0,10.17,0.63,0.9,0.88,0,0,33.46,37.91,0.2,32423.6,0,1868.75,0,0,4,59.02,0,0.05,81.6,0,5953.74,6333.43,54964.2,54961.4,0.52,0,0,14.51,0.603495126,2.927004577,7.037425163,0.185806238,0.875654286,1,0.603495126,2,12288,1913699,613970,968360,0,34,35,0.2,968158.4,28,1482,20.72,16.84,5.00E-14,default,mysql
22.66,0,5.86,0.62,0.85,1.03,0,0,30.4,46.78,0,34306.4,0,2044.98,0,0,0,61.04,0,0.05,86.32,0.01,7454.54,7930.11,68819.8,68817.2,0.65,0,0,17.73,0.56985981,3.116233803,8.176956081,0.222833599,0.929044372,1,0.56985981,0,12288,2095873,634381,958955,0,31,67,0,959001.2,9,1483,19.66,16.73,5.00E-14,default,mysql
22.29,0,6.26,0.55,0.84,1,0,0,30.39,44.32,0,36469,0,2179.29,0,0,0,61.19,0,0.05,90.56,0.02,7068.94,7520.1,65258.4,65259.2,0.62,0,0,16.81,0.579840211,3.024340652,7.969982442,0.216586156,0.910760682,1,0.579840211,3,12288,2231738,637125,976759,0,30,33,0.2,977018.8,49,1476,18.56,16.55,5.20E-14,default,mysql
21.99,0,6.12,0.54,0.86,1.01,0,0,29.98,43.13,0,36497,0,2183.37,0,0,0,61.26,0,0.05,91.68,0.06,7200.2,7659.42,66470.6,66468.2,0.63,0,0,17.14,0.575005458,3.053426011,8.025041335,0.217715055,0.916319483,1,0.575005458,2,12288,2236701,646075,988531,0,30,16,0.2,988488.2,49,1476,17.96,16.46,5.20E-14,default,mysql
22.34,0,5.83,0.55,0.85,1,0,0,30.02,44.56,0,36637.6,0,2187.65,0,0,0,61.14,0,0.05,91.44,0.03,7199.76,7658.88,66466.8,66463.6,0.63,0,0,17.11,0.581470427,3.065945648,7.999254833,0.214928129,0.916062239,1,0.581470427,2,12288,2236628,637655,971542,0,30,8,0,971534,45,1478,23.01,17.53,5.20E-14,default,mysql
22.21,0,6.02,0.67,0.86,1,0,0,30.09,42.65,0,34903,0,2087.51,0,0,0,61.24,0,0.05,87.28,0.04,7223.82,7684.61,66688.8,66686.8,0.63,0,0,16.89,0.572824843,3.077790588,7.908291049,0.217155717,0.930112624,1,0.572824843,2,12288,2137261,641983,985570,0,30,27,0.2,985386.4,49,1479,22.2,17.45,5.20E-14,default,mysql
21.52,0,5.87,0.69,0.85,0.98,0,0,29.22,40.73,0,34391,0,2053.57,0,0,0,61.15,0,0.05,86.48,0.04,6991.06,7436.93,64541,64537.4,0.61,0,0,16.45,0.57933236,3.046054087,7.881340359,0.215118669,0.915128825,1,0.57933236,2,12288,2103270,622002,955785,0,30,7,0,956159.2,37,1479,22.91,17.68,5.20E-14,default,mysql
